payers_tin,recipients_tin,payers_name,payers_add,payers_city,payers_state,payers_cont,payers_zip,payers_phn_no,recipient_name,rec_street,rec_cit,rec_stat,rec_cont,rec_zip,rec_acc,one_a,one_b,two_a,caledar_year,two_b,two_c,two_d,two_e,two_f,three,four,five,six,seven,eight,nine,ten,twle,trten,forten,fiften,sixten,company_name,coid
920 73 7303,970-89 5948,Bubba Pope,"PSC 8356, Box 9004
APO AE 82312",Mobile,Indiana,China,69281,873.580.5403,Gopal Biswas,441 Christina Islands Suite 456,Bloomington,Washington,Sudan,40576,DDRZ41902543137378,87304.47,16278.3,73072.54,2005,38920.57,54724.88,32538.32,3074.12,53932.62,87871.22,6149.38,43398.57,45692.11,29343.51,US,48062.04,54687.49,87318.67,60940.92,NY,175-94-1566,48029.59,Sun Communities,SUI
969 81 8116,944-70-8083,Montrell Jackson,"55915 Allen Locks
North Julieville, AR 08405",Baton Rouge,Florida,Ukraine,73247,433-582-9563,Rosemary Castellanos,507 Mikayla Flat Apt. 156,Chula Vista,Minnesota,Mauritius,45155,ZGXR20559201099086,82247.79,36956.89,23460.77,2017,67763.7,89417.29,61318.57,50420.76,52290.79,83946.04,53053.4,30012.47,92171.48,57440.83,US,97354.99,70948.14,14680.04,8236.4,SD,776-08-1860,38973.53,Expeditors,EXPD
955 85 1287,940 82 0532,Allen Kays,"28029 Rose Brook
North David, PW 59732",Columbus,Michigan,Guyana,24749,276-359-0645,Gracen Mcdonald,13080 Pratt Neck Suite 595,Tacoma,Iowa,Qatar,83829,GCOH65823107748297,77681.23,18915.96,28343.39,2006,24314.89,89793.38,12822.75,54839.68,7765.66,46285.66,34397.97,53077.81,16213.13,29754.42,US,49332.34,84338.93,98349.89,43456.88,MO,301-53-5343,73113.03,Avery Dennison,AVY
956-74 2961,911 74-1766,Claudia Brown Smith,"5080 Julie Valley Apt. 142
Wallacemouth, NC 60689",Rancho Cucamonga,Texas,Gabon,96887,505.586.9099,Erica Alexander,979 Bradley Alley Suite 064,League City,North Dakota,Timor-Leste,50915,GECZ69664144822548,95320.96,56667.79,11029.24,2000,7057.73,95075.1,14730.93,9947.81,18520.36,72202.53,45885.94,91261.58,36991.34,30792.84,US,24024.9,11200.81,49420.47,97084.88,SD,477-29-0540,25264.72,Celanese,CE
933 87-7894,929-72 6135,Jasmine Camper,"461 Darrell Junction
East Caleb, IL 98418",Mount Pleasant,New Jersey,France,73928,414.561.8056,Terftt Ttbo,466 Holt Pass,League City,South Dakota,Canada,69205,KDZN85094130332077,83580.09,35130.88,74100.83,1997,21972.27,63550.02,66750.9,38699.59,12694.55,83306.18,46993.02,14926.36,88433.53,77815.29,US,31501.06,20043.15,99980.13,97909.73,RI,599-71-1129,22256.42,Warner Music Group,WMG
994-73 1774,965-74-5462,Ashley Arnold,"25112 Robles Street
Lake Aaron, CT 09232",Livonia,Missouri,Bahamas,93672,(287)808-2169,Zachary Hill,8600 Barry Meadows,Columbus,Alaska,Bosnia and Herzegovina,19423,OMWJ70638482983603,42494.42,92735.09,66926.05,2012,61874.34,67034.02,39598.83,36811.39,97993.99,7789.25,96903.29,65728.52,76057.57,11055.66,US,17990.18,33936.13,59129.14,83857.56,UT,452-15-5940,2294.54,CMS Energy,CMS
938 88 2002,975-72-9441,Lillie Batiste,"344 Manuel Glens Suite 342
New Sandyland, WV 37792",Lake Charles,Delaware,Antigua and Barbuda,8511,+1-684-594-9373,Jovahn Robinson,4857 James Fork Suite 459,Shreveport,Rhode Island,Iraq,9131,THWJ00995347719762,5470.68,71739.64,40799.59,2000,50508.61,43114.31,81537.83,68878.94,86668.71,15639.9,30531.23,40671.62,72847.13,43319.9,US,35185.54,59337.86,68223.72,32084.21,ME,878-59-0072,21038.68,Abiomed,ABMD
984 71-8685,925-86-1279,Susan Elliott,"USNV Turner
FPO AA 11539",Erie,Alabama,Samoa,97691,865.473.7998,Kenya Jones,6751 Valenzuela Vista Suite 729,Somerville,Louisiana,Uzbekistan,23432,DMCA83196849102786,40404.16,90063.04,88378.6,2017,48808.84,94992.67,13023,23488.81,93620.24,77236.8,9804.5,66722.36,61308,62301.08,US,63163.09,39826.19,97740.13,23752.52,AR,501-46-2460,45099.79,Skyworks Solutions,SWKS
908 78-3808,991-73 3059,Hiram Davis,"746 Rogers Ports
New Danielport, MA 45380",Arlington Heights,Oklahoma,Afghanistan,98946,302.487.2393,Evelyn Larsen,6618 Ortega Unions,Napa,Delaware,Cuba,66152,BJJA47951571061791,93768.62,89257.56,54932.39,2020,60755.25,77866.05,24922.78,58901.59,34051.3,47202.68,21070.75,77198.16,4583.71,59466.67,US,17414.08,45618.06,63930.09,87390.4,GA,830-15-4036,94803.51,Leidos,LDOS
990 76-5761,986-73 1635,Jenny Neko,"35935 Hodges Locks
Miatown, MD 40873",Bloomington,Indiana,Russia,33771,001-418-710-0796,Jordan Tate,2156 Jennifer Mills,Canton,Alabama,Chile,66903,UFZK21062383067827,56082.57,5084.68,89305.67,2002,43660.62,43791.99,67380.38,68573.3,3115.23,54008.81,5778.89,76663.98,11238.68,84587.79,US,13155.3,4025.37,66625.64,90411.69,VA,089-86-2416,2396.76,Avantor,AVTR
992 81-5791,994 78-7720,Chris Albers,"309 Rivera Cove
Port Nicolemouth, RI 26547",Longview,Utah,Solomon Islands,52497,502-641-8532,Donna Havard,154 Jack Pass Apt. 065,Detroit,Oregon,Seychelles,68831,FFNP91330510251964,69313.4,64460.76,52780.9,2022,32951.89,74033.21,29156.67,44326.97,71486.11,84306.49,71421.73,35298.85,44263.48,3775.32,US,45386.21,90617.68,6817.84,84291.47,VI,675-36-7740,16855.56,Lennox,LII
924 70 4929,983-71-1760,Brie Mccann,"9010 Cherry Meadows Suite 006
South Johntown, IA 71391",Bloomington,Georgia,Italy,91560,(935)225-5519,Maira Pineda,4239 Joseph Tunnel,Bridgeport,Mississippi,Guinea,58327,YVBQ10869942130209,95702.01,22431.05,56387.86,1999,43483.78,11647.53,5970.85,34263.2,23660.84,84753.4,23799.51,77452.7,23692.74,56990.02,US,15253.39,32942.42,96395.59,77041.68,NY,478-48-1482,21385.94,Loews Corporation,L
981 86 9975,958 82-2407,Adam Parish,"983 Deborah Ridge Suite 754
Floresstad, MO 95044",Hawthorne,Nebraska,Antigua and Barbuda,90036,814-319-9529,James Townsend,47179 Brown Divide,Sioux City,Michigan,Mauritius,71040,RHEP89824374709315,56210,33044.16,32200.56,2019,91171.82,21804.44,36486.27,45975.65,13800.89,8090.73,19814.61,63687.15,30031.59,82943.97,US,9979.57,39108.41,53795.22,72711.81,MS,448-12-0633,48242.85,GoDaddy,GDDY
937-84 8746,968-88-9360,Keigen Bosarge,"756 Pena Mountain
New Megan, MA 45373",Mount Vernon,West Virginia,Cambodia,13583,(349)629-9726,Nikki Carpenter,84863 Matthew Island,Chicago,Arizona,Antigua and Barbuda,68044,KTLY03894216607573,1772.73,90961.7,57601.32,1992,79582.17,8810.17,91371.84,36441.15,19607.73,23235.21,40602.54,45750.43,74967.08,36136.4,US,20096.13,21009.21,64302.81,45152.65,CT,076-47-8543,18348.36,Best Buy,BBY
928 73 3876,997 80-6297,Inkon Inkon,"5968 Rich Villages Apt. 519
North Victorland, MP 78614",El Paso,Vermont,Togo,76552,001-710-943-1326,مروه علي,7090 Olson Mills,Athens,Iowa,China,48790,VIRJ07796323462488,96435.61,10120.89,30261.87,2019,20043.35,87430.9,16711.46,86935.91,47819.68,10533.28,12573.83,54933.55,17578.39,5894.95,US,79358.36,55271.56,57061.39,68883.36,LA,414-49-9113,68419.04,Carlyle Group,CG
927 75-8813,935-74 8911,Michael Robertson,"7172 Fowler Plains
Lake Victoria, MN 26953",Provo,Connecticut,Slovakia,68720,001-363-871-3241,Claudia Brown Smith,59110 Jessica Ville,Independence,Missouri,Tanzania,50368,TKRD43897157209391,50629.39,82497.84,18248.28,2018,889.72,74999.08,8063.1,35723.25,12075.9,76171.61,63086.28,34071.85,59574.71,1575.93,US,84110.33,6534.25,42972.38,98433.93,PW,549-59-1421,26112.88,First Solar,FSLR
927 80-6442,924-86 3000,Brian Laurence,"87015 Williamson Creek Apt. 398
Robinborough, CA 24430",San Diego,Alabama,India,74323,001-697-734-5669,Brionna Martin,829 Melendez Drive,Anaheim,Arkansas,Guinea-Bissau,80239,QMVK13494316880031,16732.46,79828.7,68639.9,2014,12039.23,72867.21,94492.79,82369.74,73306.4,16694.83,96530.56,60615.94,88392.46,51614.22,US,45642.3,54302.07,20665.99,3100.61,AZ,380-64-1872,7476.78,Southwest Airlines,LUV
932 75 4266,998-74 2335,Lionel Mulkey,"0136 Rose Grove Apt. 360
Amyview, PR 02556",Madison,Utah,Samoa,91053,+1-394-583-2344,Eric Lanclos,8960 Matthew Pass,Somerville,Connecticut,Antigua and Barbuda,23491,UJKG26670214626470,62002.48,39377.28,46281.43,1994,68998.07,98192.77,21523.18,57953.96,69363.71,5373.35,9743.12,37658.58,95756.87,69029.82,US,41215,12129.37,90591.21,32117.91,MI,347-85-7403,34472.85,Akamai,AKAM
907 70 9443,969 75 5076,Ivyn Smith,"2178 Blankenship Dam Suite 927
Nicolasmouth, NY 10520",Round Rock,Massachusetts,Saudi Arabia,97654,(900)586-7833,Joyce Wheelock,70128 Hale Parks Apt. 332,Canton,Arkansas,Romania,4079,DTOT24286733936775,6187.15,40870.6,24223.33,2007,51885.77,22036.24,49137.97,18277.64,35833.38,65125.21,8850.62,7955.43,78583.82,40488.88,US,81388.58,25087.93,50168.14,53975.75,TN,335-65-5450,43196.29,Northern Trust,NTRS
994-86-1690,911-75-8355,Tommy Brown,"74295 Nicholas Square
Bobbyland, SD 14404",Arlington Heights,Florida,Vanuatu,67358,780-735-8145,Todd Richard,398 Maria Inlet Suite 176,College Station,Vermont,Timor-Leste,60253,BPGD91415678207920,79544.49,85606.03,28755.86,1995,19124.37,54279.6,69499.95,16004.77,93178.95,58151.1,59082.62,22768.04,81711.27,80242.47,US,49226.94,69864.65,40999.92,64808.27,VA,521-52-0350,26222.5,Packaging Corporation of America,PKG
929-89 0560,955-77-0263,Tracy Lehmann,"09363 Price Extension Apt. 702
Hallside, OR 05539",Mission Viejo,California,Brunei,19759,(506)580-4515,Zøw Zøw,96763 Lewis Crossroad Apt. 510,Riverside,Oklahoma,Azerbaijan,14127,XIZH46103056959037,98729.1,73177.26,97937.83,2006,35128.37,82277.05,98761.02,16860.69,65137.42,45069.86,92333.12,56017.65,57386.44,47347.42,US,35460.65,8270.06,17313.38,2564.99,AK,461-02-3385,79442.66,Masco,MAS
990 79 0160,901 72-1363,Mitch Millions,"98875 Charles Club Apt. 279
Port Juanborough, NH 28193",Oxnard,Georgia,Cyprus,96460,+1-870-842-5719,Michael Wittenberg,557 Jessica Glen Apt. 092,Merced,Iowa,Qatar,68731,YJJI39174703823390,45443.18,13806.05,86043.4,1997,77752.95,83139.12,95950.85,19487.79,64837.54,23559.84,82301.53,81227.1,31764.83,69839.29,US,88410.57,38682.64,38387.52,80544.74,VA,278-96-4628,31521.85,TPG Capital,TPG
950-73 2433,945-89 6818,Eric Gatlin,"USNV Schmidt
FPO AP 28724",Plano,Utah,Chile,8849,001-861-913-7180,Hero ,2808 Alexander View Apt. 929,Fayetteville,Utah,Kuwait,92322,NEST74182607910876,3785.25,77550.66,49676.82,2005,38955.34,6872.31,2675.23,58783.65,89237.09,11321.81,82410.29,42789.77,17602.27,7552.18,US,73333.17,5312.28,24743.68,14414.39,IA,645-82-0408,98873.56,Teradyne,TER
969 78 7993,907 70-0454,Kevin Johnson,"73987 Banks Square
Lake James, MN 61050",Bridgeport,North Carolina,Seychelles,83065,496.590.6958,Herbert Tolbert,08721 Frank Path Apt. 735,Birmingham,Arizona,Liberia,17915,KSRR01128401749198,12919.93,65559.45,58978.19,2022,6487.04,53280.3,74055.4,73179.22,95838,30656.94,83135.57,44922.24,27602.53,71486.89,US,8003.08,404.74,2499.32,86075.58,CA,437-99-9453,15427.31,Formula One Group,FWONK
970 81 9910,985-75 7901,Kelsie Caldwell,"146 Richard Shoal Suite 066
Lutzville, DC 52783",Lancaster,Michigan,Mongolia,41380,5076115467,Mitch Millions,655 Ferrell Flats,Columbus,Illinois,Rwanda,33912,JICE04338618736475,18145.32,2585.79,67314.5,2000,79526.97,3456.68,35235.52,29760.5,86099.43,5513.74,57420.78,23848.16,2131.52,58177.81,US,21417.64,82475.46,73215.65,79415.12,ID,203-50-1986,74062.52,Hyatt Hotels,H
914 71-4318,926 86-9084,Kailey Carlock,"3522 Robin Run Apt. 364
Hernandezside, PA 49907",Norwalk,Alaska,Nicaragua,3846,214.380.5595,Adrian Jackson,3973 Wilson River Suite 974,Escondido,North Carolina,Cabo Verde,55184,AKET01750614424040,55381.86,74109.91,93809.7,2013,36635.51,13663.35,31728.04,86791.52,27135.83,49422.05,4687.08,46999.21,62543.82,95812.31,US,16579.39,93582.54,15062.55,40879.35,AZ,734-81-6412,84633.96,Pure Storage,PSTG
970-74 0821,910 81-1014,Jenn Dub,"04373 Adam Key
Cassandrafort, ND 08935",Missouri City,Tennessee,Madagascar,4677,8433974723,Carol Trautman-Evangelista,4270 Douglas Turnpike,Cranston,Rhode Island,Pakistan,3687,RXZC62634969233082,32731.33,20976.47,34385.28,2010,87762.02,40689.89,1477.04,85783.68,11968.34,96745.68,33909.6,81702.69,8557.99,33202.83,US,96247.24,86700.51,29020.77,53786.85,FM,729-62-5212,95899.33,Robinhood,HOOD
924 79-6373,921-76-6933,Cheri Omalley,"41439 Catherine Springs Suite 614
Lake Kellyland, PR 65012",Seattle,Massachusetts,Slovenia,70056,(311)357-3938,Daneen Givens,414 Aguilar Bypass Apt. 086,Missouri City,Minnesota,Kazakhstan,11399,FYVM27068790136669,59635.65,45235.78,8489.18,2004,21211.98,50284.49,2606.04,3820.35,11285.92,22161.48,49921.32,68908.26,6546.27,54998.31,US,69082.62,1266.45,49247.93,91307.12,NV,720-74-9554,52162.19,Essex Property Trust,ESS
965 79 8991,913 80-6361,Deeva Dardar,"1221 David Corners Apt. 382
Paulaport, GU 83760",Largo,Idaho,Equatorial Guinea,92864,(917)918-8363,Keiwan Knox,2185 Miller Plains,Meridian,Oregon,Timor-Leste,3361,QKME64102458062405,35026.44,84575.87,81354.46,2018,12376.4,33472.4,16920.9,96444.84,57399.52,97064.71,48850.78,20955.53,20303.99,51010.83,US,41445.84,66305.17,55872.09,10985.74,IL,208-60-0107,88700.7,BioMarin Pharmaceutical,BMRN
945-84 2784,948 75 8966,Lacey Marie,"41317 Peter Courts
Port Matthewside, IN 38100",Meridian,Wyoming,Haiti,46094,372-803-0890,Savannah Mcquiston,35512 Brown Club,Broken Arrow,Kansas,Saint Lucia,57005,MQKR08464494453814,62023.52,38584.19,84523.94,1998,81959.56,84447.65,16780.24,38619.34,21768.66,6001.03,84619,6809.42,74082.6,2008.23,US,98408.55,9450.26,93938.43,73272.9,VT,394-68-3611,47302.03,Graco,GGG
980 75-4351,901 77 2630,Octavious Williams,"PSC 4462, Box 9993
APO AE 09961",Largo,Louisiana,South Africa,57151,+1-652-826-7414,Mary Riddle,778 Miranda Walk,Chino,Maine,San Marino,13604,YGVX17238837731983,15496.03,92670.87,20733.18,2021,88645.05,91947.77,85321.99,27828.95,86603.79,90617.16,34306.25,85814.59,48331.27,37760.33,US,28991.21,89340.46,55542.32,46317.87,WA,226-87-7155,47592.67,Saia,SAIA
975 81 8207,954 73 0515,Romeca Allen,"0892 Alvarez Shores Suite 186
South Kathrynborough, AR 16461",Clifton,Massachusetts,Uruguay,32019,(273)613-5562,Miranda Powell,29857 Hughes Ferry,Cheyenne,Georgia,Chad,44133,NKAL74112517170818,88222.85,35476.83,96063.3,2019,28303.12,47814.85,9693.01,89788.47,64114.28,59009.6,93709.3,44664.65,62328.63,65713.64,US,53977.46,11655.85,90552.24,53380.89,AK,661-89-9179,16410.66,Watsco,WSO
989-78-5119,966 73 5181,Madison Willman,"577 Keith Walk
Bryanchester, IN 29985",High Point,Alabama,Argentina,92615,001-637-874-8628,Ceara Fields,952 Richardson Mews,Livonia,Florida,Uzbekistan,66225,XEPC68640624040722,40015.87,39828.03,89002.16,2010,75633.53,38335.78,37803.07,21974.26,45961.02,43411.41,14495.5,26582.2,89129.16,40599.04,US,11538.68,359.28,59192.17,67377.83,AL,144-39-8061,55618.25,CF Industries,CF
950 87 3146,901-85 8600,Hannah Spra,"230 Hanna Freeway Apt. 554
Dawnchester, MA 29830",Cranston,New York,"Korea, North",43689,856.261.8720,Courtney Bolton,40625 Reynolds Plain,Parma,California,Central African Republic,30479,IWJR56076089045060,48784.71,96465.72,76263.93,2021,70419.25,3682.18,93081.01,38940.82,64187.11,97677.77,69105.71,58517.32,78447.93,26492.4,US,45722.15,77784.59,17905,42286.28,CT,891-44-8713,69653.03,Sirius XM,SIRI
951-89-7215,909-83 9658,Logan Severio,"27155 Justin Island Apt. 212
Leestad, IL 54912",Murfreesboro,Hawaii,Paraguay,52094,(321)314-2652,Patricia Dupont,542 Vasquez Knolls,Beaverton,Arkansas,Seychelles,75889,HVAE58121371086916,71639.05,84296.58,16831.84,2011,28985.12,53724.52,61127.63,3528.74,37263.11,39534.74,47774.93,72193.93,27988,96675.36,US,59249.65,81885.79,68934.27,99046.56,UT,272-42-5226,33038.85,Enphase Energy,ENPH
973 80 8130,920 81 5705,Ellen Stewart,"343 Katie Ferry Suite 822
Cynthialand, IA 41982",Brooklyn Park,New Jersey,Belgium,39662,(903)754-3609,Jennifer Lett,3944 Catherine Loop Apt. 068,Lancaster,Idaho,Angola,38972,WTKB61543465784871,50388.93,61782.51,43084.44,2014,17759.28,52705.24,77830.4,52516.49,41746.07,32861.12,360.17,38025.54,68032.1,66708.02,US,6452.38,12563.41,63686.55,57422.32,MO,670-78-8075,94207.49,Mid-America Apartment Communities,MAA
926 80-8944,981 72-6300,Flint Millikin,"USNS Hebert
FPO AP 36474",Victorville,Idaho,Georgia,32327,001-723-640-6589,Jasmine Camper,700 Anderson Spur,Gulfport,Indiana,Zambia,81008,LZAO94294859535597,91710.09,96699.23,85901.28,2001,22296.47,99485.37,13932.06,42179.4,69316.16,84436.31,80016.93,72697.95,93008.73,88088.4,US,92425.99,99368.52,37229.34,64917.3,IA,334-24-4906,72007.74,Domino's Pizza,DPZ
968 87 6632,903 73 4770,Kyle Travis,"Unit 4046 Box 5886
DPO AA 31697",Meridian,Hawaii,Yemen,85872,350.851.8465,Ashley Carlin,15446 Wilkinson Pike Suite 727,Nashville,Idaho,Bulgaria,87193,FVMU42682045628717,57904.54,67306.16,74185.52,2000,78245.38,9891.84,29489.95,97693.69,50111.31,31642.53,98183.29,62965.03,50547.57,16001.1,US,85571.1,39770.43,77803.74,81498.45,AL,052-43-7300,57772.39,Nutanix,NTNX
945-77 1619,983 72 5181,Patrick Olivier,"347 Friedman Station
Patriciamouth, IA 89131",El Cajon,Idaho,Colombia,41362,(282)224-1203,Artemisia Trevisan,0354 Hughes Ways,Antioch,Delaware,Bhutan,73821,CGVT07903947890682,96155.31,19505.98,99580.44,2009,67044.78,89344.13,10296.5,34980.17,65898.84,60601.17,24013.91,15692.48,2735.42,73362.42,US,76234.45,34822.15,40436.35,28244.17,FL,400-48-9778,28178.71,Corebridge Financial,CRBG
972 75 0563,959-83-6480,Kevin Bradley,"904 Tasha Fords
Greenburgh, WI 04985",Los Angeles,Kentucky,Kyrgyzstan,48524,(609)448-4731,Hannah Roux,579 Anthony Locks,Upland,North Carolina,Saint Lucia,99059,JXER29758117810413,72251.79,26031.26,17790.87,1998,84255.87,52330.53,26828.46,86110.34,92543.91,41794.66,41167.9,37927.32,12401.13,33967.72,US,8015.8,43860.68,87988.51,95150.82,IL,829-58-3719,7030.84,Snap-on,SNA
992 71 4151,946-84 5435,Hector Velasquez,"074 Jennifer Harbor Apt. 310
Port Shawn, VA 27818",Odessa,Montana,United Arab Emirates,46010,519-380-2330,Salvador Diasdias,5510 Margaret Squares Suite 598,Billings,Nebraska,Papua New Guinea,62058,OEUF81624829940509,61796.6,27019.24,81600.87,2009,68717.54,91154.99,80572.47,62296.69,89975.98,77294.7,15157.68,84756.67,62870.6,64953.75,US,60662.32,82163.73,51144.88,40241.96,VI,818-79-2100,39500.33,POOLCORP,POOL
903-71-4145,960 81-4599,Jala Coleman,"880 Tonya Port
New Mark, ND 81664",Clearwater,New York,Suriname,89204,(248)690-0361,Jeremy Allen,93043 Gould Knolls,Missouri City,New Mexico,Belarus,86557,PKPW57144415611675,53529.33,12968.14,34368.5,2014,48538.44,10725.16,2794.2,80836.97,50499.1,16093.15,10474.69,98955.91,5314.06,19087.81,US,68688.23,78259.87,60357.26,91770.25,CA,131-49-7202,94156.64,Citizens Financial Group,CFG
921 76 0507,905 76-6884,Paul Hurdle,"638 Saunders Union
South Joseph, CT 16879",Shreveport,Nebraska,Barbados,54827,(745)464-7849,Jarellbenfrankk Mukk,95046 Victoria Plains Suite 986,Overland Park,Hawaii,Brazil,50234,BYLU95302435080688,23183.7,85046.45,47281.39,2004,83036.93,34076.97,12947.91,46585.67,84159.63,96489.88,36041.43,2722.19,14332.67,58963.03,US,3571.2,50201.57,40274.73,97195.41,OR,140-84-8874,50759.51,Manhattan Associates,MANH
961-88-7443,989 82-1875,Harold Hull,"9879 James Keys Suite 870
New Kaitlin, OK 27037",Cincinnati,Oregon,Netherlands,31597,541-560-6683,Deeva Dardar,9864 Laura Mill Apt. 364,Davie,Indiana,Israel,76820,QCIB43247875001689,32572.32,1432.08,2943.34,1990,37520.09,1907.68,36159.54,78579.02,74109.17,38230.67,18829.22,33489.22,78137.18,57192.64,US,75671.56,8766.22,32928.51,7707.2,AK,296-77-6249,84754.3,SS&C Technologies,SSNC
902-71 1351,957-89-3182,Steven Singleton,"02722 Walsh Gardens
Martinmouth, IN 67994",Sandy,Indiana,Luxembourg,40576,327-919-0686,Lionel Wilkerson,85098 Kennedy Pass Apt. 624,Roswell,Mississippi,Samoa,60379,DIZJ14129275612933,68308.94,51895.15,906.88,1999,73645.46,45810.47,65893.07,62398.25,43637.05,76234.43,89075.71,57128.31,26711.72,10237.35,US,12915.48,63363.91,75483.32,24162.53,TN,632-97-4088,69602.73,Trimble,TRMB
960 81-4599,997 72-7452,Chiantia Sago,"7910 Jose Fall
Port Allenbury, AS 48664",Plymouth,Maryland,Sierra Leone,92028,+1-851-519-8751,Darryl Allen,77441 Stewart Key,Waco,Idaho,Cyprus,75065,OTJS43076603514123,86054.22,6870.22,97985.22,1995,90243.42,71877.95,43289.29,14604.71,99711.66,94629.95,74835.62,6399.23,92233.65,16199.69,US,23800.85,35026.79,9178.43,49045.91,CT,135-22-8571,34732.73,TransUnion,TRU
981 78-2256,981 85 3509,Carl Phillips,"236 Bender Mountain
East Raymondstad, IA 51415",Parma,New Mexico,Maldives,9116,(548)586-3346,Katie Russell,0432 Lori Isle,Yonkers,Indiana,Morocco,52585,KFOR61979228233720,3648.75,44957.59,32452.37,2009,89027.61,23990.91,76703.77,90679.19,68898.83,14052.88,11919.16,2152.78,69839.55,6005.17,US,20431.85,63898.58,8270.68,63988.11,AZ,898-34-7713,71549.73,Emcor,EME
906 84-4850,939 74 9934,Colton Kinchen,"699 Bradley Circles
Wilsonport, FM 52002",Cary,Idaho,Sao Tome and Principe,20809,(263)736-4405,Toddrick Hammond,97178 Wallace Throughway,Fort Wayne,Mississippi,Austria,86444,YDSW68653410134573,88297.8,38452,87440.8,1993,7273.09,69452.22,90940.97,60336.66,27083.06,55530.37,5956.75,54574.11,67386.49,10202.06,US,2619.72,51482.23,76324.32,42126.96,GA,700-72-2692,70495.02,AMH (American Homes 4 Rent),AMH
929 82 9232,905 79-4833,Lawanda Jones,"060 Moreno Manors Suite 347
South Stacytown, NV 81375",Richmond,Alabama,Dominican Republic,92718,888-909-1536,Hannah Main,7266 Carr Turnpike Suite 736,Las Vegas,Kentucky,Tonga,34849,HKKE38816444895877,49527.21,66457.62,32023.63,2002,72503.5,11996.18,29449.12,83232.07,21375.09,43576.78,44705.1,71430.39,60143.53,29330.79,US,4942.78,43509.9,5875.35,23654.83,NM,759-36-9522,44393.58,RPM International,RPM
931 85 6107,911-87 4030,Zack Merphie,"542 Alexis Mission
Lorifort, GA 63769",League City,New Jersey,Eritrea,97199,001-416-959-6475,Ronnie Mitchell,49328 Amanda Plains Suite 409,Arlington Heights,Idaho,Zimbabwe,83291,AJBC83401293973441,47150.89,17789.38,53730.87,2007,2795.76,25870.84,6644.9,15206.7,40322.35,26349.13,23226.2,50769.09,31665.81,33348.3,US,14562.6,33232.97,33391.22,2353.09,AL,350-68-1724,70324.16,Nordson,NDSN
996-74-7544,972-81-0936,Breuna Dozier,"11660 Marc Falls
Gentryberg, NV 85604",Lancaster,Colorado,Turkey,14321,8372776608,Jeffery Robertson,694 Theresa Court,South Gate,South Dakota,Syria,94679,HXYT83846093133029,52365.43,6802.66,37209.48,2012,71431.92,96604.64,30076.11,99888.35,8001.17,42488.3,88270.12,65946.92,81016.25,92182.38,US,94351.01,5861.72,37699.33,52420.72,NH,366-07-0010,3863.2,News Corp,NWS
903 75 2517,996-71-0837,Jessica Miller,"344 Cindy Point
Alvarezshire, PA 23106",Manchester,California,Japan,56876,(868)771-2309,Romeca Allen,695 Chelsea Green Apt. 380,Peoria,Louisiana,South Africa,17738,FWWA99524473558288,88962.83,15964.42,86395.03,2005,10367.84,67786.5,70296.68,1792.79,82265.06,77913.85,47327.39,76902.16,19826.32,4934.63,US,85725.12,52844.84,35778.25,38024.16,IL,110-82-9714,99937.3,EQT Corporation,EQT
924 82-4768,989-78-5119,Lloyd Allen,"7863 Michael Run
East Christymouth, WY 72847",Garden Grove,Massachusetts,Australia,33295,687.340.7524,Joseph Gesus,835 White Mall Suite 836,Thousand Oaks,Hawaii,Liberia,38801,CSZF38881443752411,87046.86,6810.63,71972.57,2016,18959.37,35324.08,61749.17,43717.78,54481.33,69326.32,22917,59447.47,18291.17,92292.94,US,90983.74,15416.98,75421.33,65154.69,PR,726-62-0483,97611.46,Lamb Weston,LW
942-84-5615,965-85-2342,Jacob Norris,"89508 Shannon Gateway
Jonesmouth, DE 36175",Los Angeles,Utah,Latvia,68244,435-412-4227,David Mcfarland,16867 Anderson Stravenue Suite 030,Pueblo,Colorado,San Marino,2784,ERCC58233169149362,66462.18,83977.69,14992.88,2009,98678.75,13522.5,96469.77,99575.72,18082.82,50802.18,1189.94,44777.85,13116.4,86689,US,76462.55,84461.6,94251.57,82513.57,LA,209-81-5115,79413.42,Host Hotels & Resorts,HST
906-82 6875,971-83-3906,Trey Williams,"86580 Perez Ports
New Gregberg, AK 58652",Rochester,Indiana,Comoros,14029,315.986.4318,Mike Schenk,552 Sandoval Turnpike,Tacoma,Tennessee,Tanzania,92179,IFYY17075825253314,52474.71,9412.21,99054.63,2022,25228.8,19534.92,71873.33,69557.39,91224.61,45997.85,29527.45,71635.93,19704.52,1609.96,US,42801.98,57600.66,75817.03,79787.64,UT,652-34-7861,8236.33,Marathon Oil,MRO
919 72 5543,986 74 3108,Jon Spera,"58189 Mcconnell Streets
Alexandramouth, AZ 15210",Mount Vernon,Rhode Island,Vanuatu,44156,001-483-845-0471,Hallie Caldwell,994 Carlson Parks,Abilene,Nevada,Poland,17067,LYXV38105891239989,84138.12,99661.32,54540.28,1995,6915.38,89724.3,76220.41,56292.02,62661.15,21914.52,41005.19,43520.26,20456.76,14340.07,US,65662.42,27365.28,92419.26,25958.71,CO,560-50-6446,31942.45,Franklin Resources,BEN
